,Transaction ID,Date,Product,Source,Count of Sessions,Quantity,Product Revenue,Landing Page,Device Category
94,#11886,20191213,Accessory,pay.shopify.com,3,1,$149.00,/checkout/contact_information?skip_shopify_pay=true,desktop
95,#11886,20191213,Accessory,pay.shopify.com,3,1,$199.00,/checkout/contact_information?skip_shopify_pay=true,desktop
96,#11886,20191213,Accessory,pay.shopify.com,3,1,$110.00,/checkout/contact_information?skip_shopify_pay=true,desktop
97,#11887,20191213,Accessory,(direct),1,1,"$1,599.00",/checkout/payment,desktop
98,#11887,20191213,Accessory,(direct),1,1,$110.00,/checkout/payment,desktop
99,#11889,20191213,Accessory,Highly engaged (60 Days),8,1,"$1,699.00",/checkout/payment,mobile
100,#11890,20191213,Boat B,google,1,1,"$1,299.00",/,desktop
101,#11891,20191213,Accessory,(direct),4,1,$99.00,/,desktop
102,#11892,20191213,Accessory,pay.shopify.com,3,1,$99.00,/checkout/thank_you,desktop
103,#11893,20191213,Boat A,Highly engaged (60 Days),1,1,"$1,599.00",/products/oru-kayak-just-in-time-for-christmas-package?_ke=eyJrbF9lbWFpbCI6ICJidWt1bmFyYUBnbWFpbC5jb20iLCAia2xfY29tcGFueV9pZCI6ICJKSGJLdzMifQ==,mobile
104,#11883,20191212,Accessory,pay.shopify.com,4,2,$398.00,/checkout/thank_you,mobile
105,#11883,20191212,Accessory,pay.shopify.com,4,1,$99.00,/checkout/thank_you,mobile
106,#11883,20191212,Accessory,pay.shopify.com,4,1,$90.00,/checkout/thank_you,mobile
107,#11883,20191212,Accessory,pay.shopify.com,4,2,$50.00,/checkout/thank_you,mobile
108,#11883,20191212,Boat A,pay.shopify.com,4,2,"$2,558.40",/checkout/thank_you,mobile
109,#11884,20191212,Accessory,(direct),2,1,$65.00,/checkout/payment,desktop
110,#11884,20191212,Accessory,(direct),2,1,$25.00,/checkout/payment,desktop
111,#11869,20191211,Accessory,affirm.com,3,1,"$1,599.00",/checkout/thank_you,desktop
112,#11870,20191211,Accessory,google,1,1,$149.00,/,desktop
113,#11871,20191211,Accessory,google,1,1,$70.00,/pages/oru-kayak-privacy-policy,desktop
114,#11872,20191211,Boat A,(direct),2,1,"$1,279.20",/checkout/shipping?locale=en,desktop
115,#11872,20191211,Boat B,(direct),2,1,"$1,039.20",/checkout/shipping?locale=en,desktop
116,#11873,20191211,Accessory,2000 MILES,11,1,"$1,599.00",/checkout/payment,desktop
117,#11874,20191211,Accessory,2000 MILES,1,1,"$1,699.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJzbWplbnNlbkBtZS5jb20iLCAia2xfY29tcGFueV9pZCI6ICJKSGJLdzMifQ==,mobile
118,#11875,20191211,Accessory,Holiday Sale 2019,7,1,"$2,399.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJha3JvZGFub0BnbWFpbC5jb20iLCAia2xfY29tcGFueV9pZCI6ICJKSGJLdzMifQ==,tablet
119,#11876,20191211,Accessory,adroll,6,1,$99.00,/pages/oru-kayak-holiday-sale,desktop
120,#11876,20191211,Boat B,adroll,6,1,"$1,039.20",/pages/oru-kayak-holiday-sale,desktop
121,#11877,20191211,Accessory,(direct),2,1,"$2,799.00",/pages/oru-kayak-holiday-sale,desktop
122,#11877,20191211,Accessory,(direct),2,2,$30.00,/pages/oru-kayak-holiday-sale,desktop
123,#11877,20191211,Accessory,(direct),2,2,$50.00,/pages/oru-kayak-holiday-sale,desktop
124,#11878,20191211,Boat E,facebook.com,7,1,$849.00,/products/essentials?variant=7531396417&fbclid=IwAR0xhGuP5l7JquavhoDHGAwZQr0nPQzufnQFYG8JFmD9q1gTpf7UuwJlWYM,desktop
125,#11879,20191211,Accessory,google,2,1,$99.00,/checkout/contact_information?locale=en,desktop
126,#11879,20191211,Accessory,google,2,1,$25.00,/checkout/contact_information?locale=en,desktop
127,#11879,20191211,Boat A,google,2,1,"$1,279.20",/checkout/contact_information?locale=en,desktop
128,#11881,20191211,Accessory,esc,1,2,$140.00,/products/oru-nylon-spray-skirt?variant=4827517747241,mobile
129,#11881,20191211,Accessory,esc,1,1,$79.00,/products/oru-nylon-spray-skirt?variant=4827517747241,mobile
130,#11882,20191211,Accessory,pay.shopify.com,6,1,"$2,399.00",/checkout/thank_you,desktop
131,#11861,20191210,Accessory,dealspotr.com,9,1,$220.00,/checkout/shipping?locale=en,desktop
132,#11862,20191210,Boat A,google,1,1,"$1,399.00",/,desktop
133,#11863,20191210,Accessory,(direct),7,1,"$1,599.00",/,mobile
134,#11864,20191210,Boat E,(direct),1,1,$849.00,/collections/kayaks,desktop
135,#11866,20191210,Accessory,Holiday Sale 2019,2,1,"$1,699.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJncmVna2F0aHlidWxsQHlhaG9vLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,desktop
136,#11867,20191210,Accessory,2000 MILES,9,1,"$1,599.00",/checkout/contact_information?locale=en,mobile
137,#11868,20191210,Accessory,google,2,1,"$1,599.00",/cart,desktop
138,#11851,20191209,Accessory,google,1,1,$149.00,/,desktop
139,#11852,20191209,Accessory,affirm.com,7,1,"$1,699.00",/checkout/thank_you,mobile
140,#11853,20191209,Accessory,pay.shopify.com,3,1,$99.00,/checkout/payment?skip_shopify_pay=true,mobile
141,#11853,20191209,Accessory,pay.shopify.com,3,1,$90.00,/checkout/payment?skip_shopify_pay=true,mobile
142,#11853,20191209,Accessory,pay.shopify.com,3,1,$25.00,/checkout/payment?skip_shopify_pay=true,mobile
143,#11854,20191209,Accessory,r.srvtrck.com,3,1,"$1,299.00",/?avad=176654_d180fc675,desktop
144,#11855,20191209,Accessory,google,2,1,"$2,799.00",/products/bay-st,desktop
145,#11856,20191209,Accessory,facebook.com,2,1,"$2,799.00",/products/oru-kayak-holiday-sale-package-2,desktop
146,#11857,20191209,Accessory,yahoo,1,1,"$2,799.00",/,desktop
147,#11858,20191209,Accessory,google,1,1,$30.00,/collections/kayaks,desktop
148,#11859,20191209,Accessory,google,2,1,$30.00,/,desktop
149,#11860,20191209,Boat B,(direct),1,1,"$1,039.20",/products/beach-lt,mobile
150,#11838,20191208,Accessory,pay.shopify.com,9,1,"$1,499.00",/checkout/contact_information?skip_shopify_pay=true,mobile
151,#11838,20191208,Accessory,pay.shopify.com,9,1,$90.00,/checkout/contact_information?skip_shopify_pay=true,mobile
152,#11838,20191208,Accessory,pay.shopify.com,9,1,$15.00,/checkout/contact_information?skip_shopify_pay=true,mobile
153,#11838,20191208,Accessory,pay.shopify.com,9,1,$25.00,/checkout/contact_information?skip_shopify_pay=true,mobile
154,#11840,20191208,Accessory,Bay Area Customers,1,1,"$1,699.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJkZXJpYy5jbGFya2VAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
155,#11841,20191208,Accessory,google,1,1,"$1,699.00",/,desktop
156,#11842,20191208,Accessory,affirm.com,5,1,$99.00,/checkout/thank_you,mobile
157,#11842,20191208,Boat A,affirm.com,5,1,"$1,279.20",/checkout/thank_you,mobile
158,#11843,20191208,Accessory,Bay Area Customers,7,1,"$1,499.00",/pages/financing?_ke=eyJrbF9lbWFpbCI6ICJwZHhyb2JwQGdtYWlsLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,desktop
159,#11843,20191208,Accessory,Bay Area Customers,7,1,$25.00,/pages/financing?_ke=eyJrbF9lbWFpbCI6ICJwZHhyb2JwQGdtYWlsLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,desktop
160,#11844,20191208,Accessory,google,2,1,"$1,499.00",/products/bay-st?variant=12128524353&currency=USD,mobile
161,#11845,20191208,Accessory,google,4,1,$70.00,/collections/kayaks,desktop
162,#11845,20191208,Accessory,google,4,1,$79.00,/collections/kayaks,desktop
163,#11845,20191208,Accessory,google,4,1,$199.00,/collections/kayaks,desktop
164,#11845,20191208,Accessory,google,4,1,$99.00,/collections/kayaks,desktop
165,#11845,20191208,Boat C,google,4,1,"$1,999.20",/collections/kayaks,desktop
166,#11846,20191208,Accessory,google,1,2,$198.00,/products/bay-st,desktop
167,#11846,20191208,Boat D,google,1,1,"$1,599.20",/products/bay-st,desktop
168,#11847,20191208,Boat B,pay.shopify.com,2,1,"$1,039.20",/checkout/thank_you,desktop
169,#11848,20191208,Boat B,google,4,1,"$1,039.20",/checkout/review,desktop
170,#11849,20191208,Accessory,Bay Area Customers,4,1,"$1,299.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJiZWNreS5iZWhtZXJAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
171,#11850,20191208,Accessory,google,13,1,"$1,299.00",/pages/oru-kayak-holiday-sale,desktop
172,#11834,20191207,Accessory,Bay Area Customers,2,1,"$1,699.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJubWFydGluNDdAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,desktop
173,#11835,20191207,Boat A,Bay Area Customers,4,1,"$1,279.20",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJqYmVocmVuczMyQGdtYWlsLmNvbSIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,desktop
174,#11836,20191207,Accessory,pay.shopify.com,9,4,$72.00,/checkout/thank_you,desktop
175,#11836,20191207,Accessory,pay.shopify.com,9,2,$36.00,/checkout/thank_you,desktop
176,#11836,20191207,Accessory,pay.shopify.com,9,1,"$1,699.00",/checkout/thank_you,desktop
177,#11836,20191207,Accessory,pay.shopify.com,9,2,$180.00,/checkout/thank_you,desktop
178,#11836,20191207,Accessory,pay.shopify.com,9,1,$15.00,/checkout/thank_you,desktop
179,#11837,20191207,Accessory,Bay Area Customers,1,2,$36.00,/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJiYXJsb3duc2FyYUBnbWFpbC5jb20iLCAia2xfY29tcGFueV9pZCI6ICJKSGJLdzMifQ==,desktop
180,#11829,20191206,Boat A,affirm.com,2,1,"$1,279.20",/checkout/thank_you,mobile
181,#11830,20191206,Accessory,OrderlyEmails,4,1,$99.00,/collections/accessories,mobile
182,#11831,20191206,Accessory,(direct),1,1,$350.00,/checkout/payment,tablet
183,#11831,20191206,Accessory,(direct),1,1,$149.00,/checkout/payment,tablet
184,#11831,20191206,Boat C,(direct),1,1,"$2,499.00",/checkout/payment,tablet
185,#11832,20191206,Accessory,fo5mbk5by278bi4c-1828165.shopifypreview.com,15,1,"$1,499.00",/pages/support-center,desktop
186,#11832,20191206,Accessory,fo5mbk5by278bi4c-1828165.shopifypreview.com,15,1,"$1,699.00",/pages/support-center,desktop
187,#11832,20191206,Accessory,fo5mbk5by278bi4c-1828165.shopifypreview.com,15,2,$700.00,/pages/support-center,desktop
188,#11832,20191206,Accessory,fo5mbk5by278bi4c-1828165.shopifypreview.com,15,1,$25.00,/pages/support-center,desktop
189,#11825,20191205,Accessory,affirm.com,15,1,"$1,299.00",/checkout/thank_you,mobile
190,#11826,20191205,Accessory,Bay Area Customers,17,1,$25.00,/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJzYmFycm9uQHJvY2tldG1haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,mobile
191,#11827,20191205,Accessory,(direct),13,1,$375.00,/checkout/payment,desktop
192,#11828,20191205,Accessory,google,1,4,$72.00,/,desktop
193,#11816,20191204,Accessory,Bay Area Customers,2,1,"$1,699.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJydGVjaG5peC5ueHRAZ21haWwuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,desktop
194,#11817,20191204,Boat E,pay.shopify.com,3,1,$179.00,/checkout/thank_you,desktop
195,#11818,20191204,Accessory,google,3,1,"$2,799.00",/checkout/contact_information,desktop
196,#11819,20191204,Accessory,google,3,1,$65.00,/checkout/contact_information,desktop
197,#11819,20191204,Accessory,google,3,1,$90.00,/checkout/contact_information,desktop
198,#11819,20191204,Accessory,google,3,1,$90.00,/checkout/contact_information,desktop
199,#11819,20191204,Accessory,google,3,2,$50.00,/checkout/contact_information,desktop
200,#11820,20191204,Accessory,google,1,1,$65.00,/,desktop
201,#11820,20191204,Accessory,google,1,1,$90.00,/,desktop
202,#11821,20191204,Accessory,youtube.com,3,1,"$1,299.00",/?aff=20,desktop
203,#11822,20191204,Accessory,google,3,1,"$1,299.00",/,desktop
204,#11822,20191204,Accessory,google,3,1,$90.00,/,desktop
205,#11823,20191204,Accessory,google,9,1,"$1,299.00",/,mobile
206,#11810,20191203,Accessory,affirm.com,3,1,$199.00,/checkout/thank_you,mobile
207,#11810,20191203,Boat C,affirm.com,3,1,"$1,999.20",/checkout/thank_you,mobile
208,#11811,20191203,Accessory,(direct),1,1,$25.00,/products/seat-wedge,tablet
209,#11812,20191203,Accessory,m.facebook.com,5,1,"$1,499.00",/,mobile
210,#11813,20191203,Accessory,Bay Area Customers,4,2,$30.00,/account,mobile
211,#11814,20191203,Accessory,google,1,1,"$1,499.00",/,desktop
212,#11814,20191203,Accessory,google,1,1,$90.00,/,desktop
213,#11815,20191203,Accessory,google,9,1,"$1,699.00",/,desktop
214,#11777,20191202,Accessory,(direct),1,1,$25.00,/pages/oru-kayak-holiday-sale,tablet
215,#11777,20191202,Boat E,(direct),1,1,$849.00,/pages/oru-kayak-holiday-sale,tablet
216,#11778,20191202,Accessory,Bay Area Customers,4,1,"$1,699.00",/products/oru-kayak-holiday-sale-package-5,tablet
217,#11779,20191202,Accessory,(direct),1,1,$225.00,/pages/support-center,desktop
218,#11781,20191202,Accessory,Bay Area Customers,1,1,"$1,299.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJyaWNraW9Ab3B0b25saW5lLm5ldCIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,tablet
219,#11782,20191202,Boat B,Bay Area Customers,5,1,"$1,039.20",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJ1Ym9ibmljaEBhb2wuY29tIiwgImtsX2NvbXBhbnlfaWQiOiAiSkhiS3czIn0=,desktop
220,#11783,20191202,Accessory,affirm.com,5,1,"$1,499.00",/checkout/thank_you,desktop
221,#11783,20191202,Accessory,affirm.com,5,1,$90.00,/checkout/thank_you,desktop
222,#11784,20191202,Boat A,google,4,1,"$1,279.20",/products/oru-nylon-spray-skirt,mobile
223,#11785,20191202,Accessory,Bay Area Customers,2,1,$350.00,/products/oru-kayak-holiday-sale-package-8,desktop
224,#11788,20191202,Accessory,affirm.com,5,1,"$1,499.00",/checkout/thank_you,mobile
225,#11789,20191202,Boat E,mail.google.com,2,3,"$2,547.00",/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,mobile
226,#11790,20191202,Accessory,google,4,1,$65.00,/checkout/contact_information,desktop
227,#11790,20191202,Accessory,google,4,1,"$2,799.00",/checkout/contact_information,desktop
228,#11790,20191202,Accessory,google,4,2,$50.00,/checkout/contact_information,desktop
229,#11791,20191202,Accessory,(direct),1,1,$149.00,/products/bay-st,mobile
230,#11792,20191202,Accessory,google,5,1,"$1,699.00",/,mobile
231,#11793,20191202,Accessory,google,1,1,"$1,699.00",/products/the-haven-tandem-kayak,desktop
232,#11794,20191202,Accessory,google,15,1,"$1,499.00",/collections/accessories,mobile
233,#11794,20191202,Accessory,google,15,1,$90.00,/collections/accessories,mobile
234,#11795,20191202,Accessory,google,8,1,"$1,699.00",/products/oru-kayak-holiday-sale-package-5,desktop
235,#11795,20191202,Accessory,google,8,2,$180.00,/products/oru-kayak-holiday-sale-package-5,desktop
236,#11796,20191202,Accessory,google,1,1,"$1,499.00",/products/bay-st,mobile
237,#11797,20191202,Accessory,affirm.com,5,1,$375.00,/checkout/processing,desktop
238,#11797,20191202,Accessory,affirm.com,5,1,$70.00,/checkout/processing,desktop
239,#11797,20191202,Accessory,affirm.com,5,1,"$1,499.00",/checkout/processing,desktop
240,#11797,20191202,Accessory,affirm.com,5,1,$90.00,/checkout/processing,desktop
241,#11798,20191202,Accessory,google,5,2,$398.00,/,desktop
242,#11798,20191202,Accessory,google,5,1,$99.00,/,desktop
243,#11799,20191202,Boat B,affirm.com,2,1,"$1,039.20",/checkout/thank_you,desktop
244,#11800,20191202,Accessory,(direct),2,1,$15.00,/products/repair-kit,desktop
245,#11801,20191202,Accessory,google,2,1,$220.00,/checkout/processing,desktop
246,#11801,20191202,Accessory,google,2,2,$36.00,/checkout/processing,desktop
247,#11801,20191202,Accessory,google,2,1,"$1,699.00",/checkout/processing,desktop
248,#11801,20191202,Accessory,google,2,1,$90.00,/checkout/processing,desktop
249,#11801,20191202,Accessory,google,2,1,$90.00,/checkout/processing,desktop
250,#11801,20191202,Accessory,google,2,1,$15.00,/checkout/processing,desktop
251,#11802,20191202,Accessory,affirm.com,11,1,"$1,499.00",/checkout/thank_you,mobile
252,#11803,20191202,Accessory,google,9,1,"$1,499.00",/checkout/contact_information,desktop
253,#11804,20191202,Accessory,bing,3,1,"$2,399.00",/,desktop
254,#11805,20191202,Accessory,(direct),1,1,"$1,699.00",/checkout/contact_information,tablet
255,#11805,20191202,Accessory,(direct),1,2,$298.00,/checkout/contact_information,tablet
256,#11805,20191202,Accessory,(direct),1,2,$398.00,/checkout/contact_information,tablet
257,#11806,20191202,Accessory,s4.socialannex.net,11,1,"$2,599.00",/products/oru-kayak-holiday-sale-package-7,desktop
258,#11807,20191202,Accessory,Bay Area Customers,1,1,"$2,199.00",/pages/oru-kayak-holiday-sale?_ke=eyJrbF9lbWFpbCI6ICJqYW5ldC5wYXJrZXIyQHVzZG9qLmdvdiIsICJrbF9jb21wYW55X2lkIjogIkpIYkt3MyJ9,mobile
259,#11808,20191202,Accessory,affirm.com,20,2,"$2,998.00",/checkout/thank_you,desktop
260,#11809,20191202,Accessory,fo5mbk5by278bi4c-1828165.shopifypreview.com,3,1,"$1,499.00",/products/oru-kayak-holiday-sale-package-4,desktop
